VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_P;a;L197;76;131;15.9;0.42;41;0.611;0;0.33;0;0.58;0;41;131;0.687
CBD_V;b;L198;70;187;15.2;0.626;39;0.791;0.039;0.441;0.032;0.363;0.011;39;193;0.798
CBD_V;c;L199;83;180;15.3;0.539;43;0.708;0.035;0.367;0.028;0.449;0.012;43;185;0.768
CBD_V;d;L200;77;158;16;0.513;38;0.675;0.016;0.333;0.013;0.481;0.006;38;160;0.763
CBD_V;a;L201;78;145;15.9;0.462;35;0.609;0.027;0.273;0.021;0.527;0.011;35;148;0.764
CBD_C;b;L202;66;131;16;0.496;33;0.663;0.03;0.332;0.023;0.493;0.011;33;134;0.754
CBD_C;c;L203;68;129;16.4;0.473;33;0.635;0.01;0.308;0.008;0.523;0.004;33;130;0.746
CBD_C;d;L204;78;156;17.4;0.5;40;0.672;-0.027;0.345;-0.019;0.51;-0.01;40;153;0.739
CBD_C;a;L205;82;154;17.4;0.468;41;0.637;0.009;0.319;0.006;0.529;0.003;41;155;0.735
CBD_P;b;L206;57;135;16.4;0.578;32;0.757;0.037;0.425;0.03;0.41;0.012;32;139;0.77
CBD_P;c;L207;74;151;16.4;0.51;35;0.664;0.033;0.314;0.026;0.477;0.013;35;155;0.774
CBD_P;d;L208;72;154;17.6;0.532;40;0.719;0.026;0.399;0.019;0.459;0.009;40;157;0.745
CBD_P;a;L209;71;144;17.6;0.507;40;0.702;0.055;0.395;0.042;0.473;0.02;40;150;0.733
CBD_V;b;L210;66;131;16.5;0.496;31;0.65;0;0.305;0;0.504;0;31;131;0.763
CBD_V;c;L211;70;134;16.5;0.478;35;0.646;0.01;0.323;0.007;0.519;0.003;35;135;0.741
CBD_V;d;L212;68;138;17.6;0.507;38;0.7;0.038;0.391;0.029;0.479;0.014;38;142;0.732
CBD_V;a;L213;65;131;17.9;0.504;32;0.667;0.02;0.328;0.015;0.489;0.007;32;133;0.759
CBD_C;b;L214;50;142;16.5;0.648;33;0.844;0.009;0.557;0.007;0.35;0.002;33;143;0.769
CBD_C;c;L215;53;139;16.5;0.619;32;0.804;0.018;0.485;0.014;0.376;0.005;32;141;0.773
CBD_C;d;L216;36;91;16.5;0.604;22;0.797;0.042;0.487;0.033;0.383;0.013;22;94;0.766
CBD_C;a;L217;51;132;16.5;0.614;30;0.794;0;0.467;0;0.386;0;30;132;0.773
CBD_P;b;L218;54;126;16.4;0.571;27;0.727;0.02;0.364;0.016;0.422;0.007;27;128;0.789
CBD_P;c;L219;56;140;16.4;0.6;31;0.771;0.009;0.427;0.007;0.397;0.003;31;141;0.78
CBD_P;d;L220;53;138;16.4;0.616;28;0.773;0.009;0.408;0.007;0.381;0.003;28;139;0.799
CBD_P;a;L221;53;130;16.4;0.592;30;0.77;0.029;0.436;0.023;0.398;0.01;30;133;0.774
CBD_V;b;L222;57;140;16.2;0.593;29;0.748;0;0.381;0;0.407;0;29;140;0.793
CBD_V;c;L223;55;147;15.7;0.626;34;0.814;0.017;0.503;0.014;0.369;0.005;34;149;0.772
CBD_V;d;L224;59;158;16.2;0.627;31;0.78;0.016;0.41;0.013;0.369;0.004;31;160;0.806
CBD_V;a;L225;62;167;16.2;0.629;34;0.789;0.015;0.433;0.012;0.367;0.004;34;169;0.799
CBD_C;b;L226;59;152;15.3;0.612;29;0.756;0;0.372;0;0.388;0;29;152;0.809
CBD_C;c;L227;56;135;15.5;0.585;31;0.76;0.019;0.421;0.015;0.409;0.006;31;137;0.774
CBD_C;d;L228;68;174;15.5;0.609;36;0.768;0.014;0.407;0.011;0.386;0.005;36;176;0.795
CBD_C;a;L229;62;156;15.5;0.603;31;0.752;0;0.376;0;0.397;0;31;156;0.801
CBD_P;b;L230;50;132;15.7;0.621;29;0.796;0.019;0.462;0.015;0.373;0.006;29;134;0.784
CBD_P;c;L231;46;108;15.9;0.574;29;0.785;0.025;0.495;0.019;0.418;0.008;29;110;0.736
CBD_P;d;L232;55;148;15.9;0.628;32;0.802;0.017;0.467;0.014;0.367;0.005;32;150;0.787
CBD_P;a;L233;62;154;15.5;0.597;33;0.76;0.008;0.405;0.006;0.4;0.003;33;155;0.787
CBD_V;b;L234;52;145;15.7;0.641;35;0.845;0.027;0.569;0.021;0.351;0.008;35;148;0.764
CBD_V;c;L235;52;140;15.5;0.629;33;0.822;0.018;0.522;0.014;0.366;0.005;33;142;0.768
CBD_V;d;L236;57;148;15.5;0.615;30;0.771;0.017;0.406;0.014;0.38;0.005;30;150;0.8
CBD_V;a;L237;49;142;15.3;0.655;24;0.788;0.017;0.386;0.014;0.34;0.005;24;144;0.833
CBD_C;b;L238;51;144;15.2;0.646;32;0.83;0.009;0.521;0.007;0.352;0.002;32;145;0.779
CBD_C;c;L239;48;123;15;0.61;29;0.798;0.031;0.482;0.024;0.381;0.009;29;126;0.77
CBD_C;d;L240;58;163;15.2;0.644;32;0.802;0.015;0.442;0.012;0.352;0.004;32;165;0.806
CBD_C;a;L241;43;111;14.8;0.613;23;0.773;0.033;0.413;0.027;0.377;0.01;23;114;0.798
CBD_P;b;L242;56;145;14.8;0.614;32;0.788;0.026;0.45;0.021;0.378;0.008;32;148;0.784
CBD_P;c;L243;40;97;15;0.588;25;0.792;0.294;0.495;0.33;0.31;0.102;27;129;0.791
CBD_P;d;L244;40;110;15;0.636;39;0.986;0.014;0.961;0.009;0.36;0.004;39;111;0.649
CBD_P;a;L245;38;103;14.8;0.631;25;0.833;0.133;0.548;0.126;0.328;0.041;26;116;0.776
CBD_V;b;L246;61;157;15.2;0.611;33;0.774;0.016;0.419;0.013;0.384;0.005;33;159;0.792
CBD_V;c;L247;52;150;15.2;0.653;33;0.838;0.008;0.532;0.007;0.344;0.003;33;151;0.781
CBD_V;d;L248;45;137;15.2;0.672;29;0.852;0.018;0.549;0.015;0.324;0.004;29;139;0.791
CBD_V;a;L249;55;154;15.3;0.643;31;0.805;0.024;0.454;0.019;0.35;0.007;31;157;0.803
CBD_C;b;L250;47;117;13.1;0.598;26;0.769;0.011;0.425;0.009;0.398;0.004;26;118;0.78
CBD_C;c;L251;49;131;13.1;0.626;30;0.812;0;0.497;0;0.374;0;30;131;0.771
CBD_C;d;L252;52;141;14.1;0.631;31;0.809;0.035;0.482;0.028;0.359;0.01;31;145;0.786
CBD_C;a;L253;48;136;14.1;0.647;34;0.863;0.029;0.611;0.022;0.345;0.008;34;139;0.755
CBD_P;b;L254;61;152;12.8;0.599;37;0.791;0.034;0.48;0.026;0.391;0.01;37;156;0.763
CBD_P;c;L255;54;129;12.9;0.581;36;0.806;0.041;0.537;0.031;0.406;0.013;36;133;0.729
CBD_P;d;L256;51;119;14.3;0.571;32;0.782;0.044;0.491;0.034;0.415;0.014;32;123;0.74
CBD_P;a;L257;52;131;14.1;0.603;36;0.832;0.05;0.576;0.038;0.382;0.015;36;136;0.735
CBD_V;b;L258;49;128;13.3;0.617;30;0.806;0.039;0.493;0.031;0.371;0.012;30;132;0.773
CBD_V;c;L259;49;138;13.5;0.645;31;0.832;0.045;0.526;0.036;0.343;0.012;31;143;0.783
CBD_V;d;L260;45;123;14.1;0.634;29;0.83;0.041;0.535;0.033;0.354;0.012;29;127;0.772
CBD_V;a;L261;44;110;14.1;0.6;26;0.786;0.012;0.464;0.009;0.396;0.004;26;111;0.766
CBD_C;b;L262;40;106;15.2;0.623;30;0.868;0.026;0.651;0.019;0.37;0.007;30;108;0.722
CBD_C;c;L263;44;118;15.5;0.627;31;0.851;0.022;0.6;0.017;0.367;0.006;31;120;0.742
CBD_C;d;L264;45;109;15.5;0.587;25;0.762;0.023;0.423;0.018;0.405;0.008;25;111;0.775
CBD_C;a;L265;43;91;15.2;0.527;28;0.762;0.045;0.496;0.033;0.457;0.016;28;94;0.702
CBD_P;b;L266;56;126;15.5;0.556;35;0.769;0;0.481;0;0.444;0;35;126;0.722
CBD_P;c;L267;54;125;15;0.568;32;0.763;0.061;0.452;0.048;0.412;0.02;32;131;0.756
CBD_P;d;L268;42;86;15.7;0.512;27;0.746;0.033;0.48;0.023;0.477;0.011;27;88;0.693
CBD_P;a;L269;46;105;15.7;0.562;30;0.787;0.038;0.513;0.029;0.426;0.012;30;108;0.722
CBD_V;b;L270;47;126;15.5;0.627;32;0.84;0.051;0.572;0.04;0.359;0.014;32;131;0.756
CBD_V;c;L271;35;94;15.3;0.628;27;0.881;0.029;0.68;0.021;0.365;0.007;27;96;0.719
CBD_V;d;L272;51;108;15.9;0.528;32;0.75;0;0.471;0;0.472;0;32;108;0.704
CBD_V;a;L273;39;104;15.9;0.625;28;0.855;0.038;0.614;0.029;0.364;0.011;28;107;0.738
CBD_C;b;L274;44;109;14.5;0.596;28;0.802;0.024;0.51;0.018;0.396;0.008;28;111;0.748
CBD_C;c;L275;52;127;14.8;0.591;32;0.789;0.01;0.486;0.008;0.406;0.003;32;128;0.75
CBD_C;d;L276;34;82;16.2;0.585;23;0.814;0.017;0.551;0.012;0.41;0.005;23;83;0.723
CBD_C;a;L277;37;94;16.5;0.606;24;0.814;0;0.528;0;0.394;0;24;94;0.745
CBD_P;b;L278;63;86;15;0.267;54;0.719;0;0.616;0;0.733;0;54;86;0.372
CBD_P;c;L279;47;117;15;0.598;31;0.814;0.023;0.537;0.017;0.395;0.007;31;119;0.739
CBD_P;d;L280;47;102;16.7;0.539;29;0.753;0.027;0.465;0.02;0.452;0.009;29;104;0.721
CBD_P;a;L281;42;99;16.5;0.576;25;0.77;0.039;0.458;0.03;0.412;0.012;25;102;0.755
CBD_V;b;L282;49;97;15;0.495;31;0.727;0.015;0.46;0.01;0.5;0.005;31;98;0.684
CBD_V;c;L283;43;106;15;0.594;29;0.818;0.025;0.552;0.019;0.398;0.008;29;108;0.731
CBD_V;d;L284;51;109;16.5;0.532;29;0.725;0.012;0.412;0.009;0.464;0.004;29;110;0.736
CBD_V;a;L285;41;108;16.7;0.62;29;0.848;0.025;0.6;0.019;0.373;0.007;29;110;0.736
CBD_C;b;L286;39;96;16;0.594;26;0.814;-0.014;0.543;-0.01;0.411;-0.005;26;95;0.726
CBD_C;c;L287;42;103;16.2;0.592;25;0.782;0;0.465;0;0.408;0;25;103;0.757
CBD_C;d;L288;44;102;16;0.569;24;0.744;-0.013;0.406;-0.01;0.436;-0.005;24;101;0.762
CBD_C;a;L289;41;114;15.9;0.64;32;0.89;0.035;0.695;0.026;0.35;0.01;32;117;0.726
CBD_P;b;L290;36;101;15.9;0.644;26;0.867;0.026;0.626;0.02;0.35;0.006;26;103;0.748
CBD_P;c;L291;41;104;15.7;0.606;25;0.797;0.012;0.486;0.01;0.39;0.004;25;105;0.762
CBD_P;d;L292;41;108;15.9;0.62;23;0.788;0.012;0.442;0.009;0.376;0.004;23;109;0.789
CBD_P;a;L293;39;93;15.5;0.581;25;0.794;0.029;0.509;0.022;0.411;0.008;25;95;0.737
CBD_V;b;L294;45;109;15.2;0.587;26;0.771;0;0.445;0;0.413;0;26;109;0.761
CBD_V;c;L295;37;98;15.2;0.622;27;0.859;0.014;0.627;0.01;0.374;0.004;27;99;0.727
CBD_V;d;L296;40;103;15;0.612;22;0.778;0.012;0.428;0.01;0.385;0.003;22;104;0.788
CBD_V;a;L297;37;101;15.3;0.634;22;0.81;0.025;0.482;0.02;0.359;0.007;22;103;0.786
CBD_C;b;L298;42;105;15.5;0.6;25;0.788;0.059;0.469;0.048;0.382;0.018;25;110;0.773
CBD_C;c;L299;36;93;15.3;0.613;22;0.803;0;0.491;0;0.387;0;22;93;0.763
CBD_C;d;L300;41;97;15.3;0.577;28;0.812;0.014;0.555;0.01;0.418;0.005;28;98;0.714
CBD_C;a;L301;42;106;15.5;0.604;24;0.78;0.012;0.446;0.009;0.393;0.003;24;107;0.776
CBD_P;b;L302;36;94;15.2;0.617;17;0.753;0.013;0.356;0.011;0.379;0.004;17;95;0.821
CBD_P;c;L303;31;70;15.5;0.557;19;0.765;0;0.469;0;0.443;0;19;70;0.729
CBD_P;d;L304;39;94;15.5;0.585;25;0.797;0.014;0.511;0.011;0.411;0.004;25;95;0.737
CBD_P;a;L305;39;97;15.2;0.598;24;0.795;0.014;0.489;0.01;0.398;0.004;24;98;0.755
CBD_V;b;L306;40;108;15.5;0.63;23;0.8;0.012;0.46;0.009;0.367;0.003;23;109;0.789
CBD_V;c;L307;45;116;15.3;0.612;29;0.816;0;0.526;0;0.388;0;29;116;0.75
CBD_V;d;L308;40;100;15.2;0.6;21;0.759;0.025;0.398;0.02;0.392;0.008;21;102;0.794
CBD_V;a;L309;37;106;15.5;0.651;25;0.852;0.024;0.576;0.019;0.343;0.006;25;108;0.769
CBD_C;b;L310;37;96;15.5;0.615;22;0.797;0.026;0.474;0.021;0.378;0.007;22;98;0.776
CBD_C;c;L311;43;125;15.5;0.656;26;0.828;0.029;0.501;0.024;0.336;0.008;26;128;0.797
CBD_C;d;L312;42;113;15.5;0.628;18;0.747;0.021;0.32;0.018;0.365;0.007;18;115;0.843
CBD_C;a;L313;45;114;15.2;0.605;13;0.683;0.01;0.197;0.009;0.391;0.004;13;115;0.887
CBD_P;b;L314;34;81;15.5;0.58;18;0.746;0.113;0.395;0.099;0.382;0.038;18;89;0.798
CBD_P;c;L315;33;78;15.3;0.577;17;0.738;0.076;0.38;0.064;0.398;0.025;17;83;0.795
CBD_P;d;L316;34;81;15.5;0.58;18;0.746;0.031;0.395;0.025;0.41;0.01;18;83;0.783
CBD_P;a;L317;37;90;15.5;0.589;17;0.726;0.039;0.334;0.033;0.398;0.013;17;93;0.817
CBD_V;b;L318;36;94;15.5;0.617;21;0.795;0.014;0.464;0.011;0.379;0.004;21;95;0.779
CBD_V;c;L319;36;96;15.3;0.625;22;0.811;0;0.496;0;0.375;0;22;96;0.771
CBD_V;d;L320;43;107;15.5;0.598;27;0.8;0.024;0.502;0.019;0.394;0.008;27;109;0.752
CBD_V;a;L321;40;108;15.5;0.63;23;0.8;0.023;0.46;0.019;0.364;0.006;23;110;0.791
CBD_C;b;L322;52;125;13.3;0.584;31;0.777;0.011;0.463;0.008;0.413;0.003;31;126;0.754
CBD_C;c;L323;49;141;13.3;0.652;29;0.821;0.018;0.486;0.014;0.343;0.005;29;143;0.797
CBD_C;d;L324;45;112;13.3;0.598;25;0.77;0.033;0.428;0.027;0.391;0.011;25;115;0.783
CBD_C;a;L325;44;116;13.3;0.621;25;0.791;0.032;0.449;0.026;0.37;0.009;25;119;0.79
CBD_P;b;L326;140;358;14.5;0.609;81;0.787;0.011;0.455;0.008;0.388;0.003;81;361;0.776
CBD_P;c;L327;121;288;14.8;0.58;88;0.835;0.02;0.607;0.014;0.414;0.006;88;292;0.699
CBD_P;d;L328;198;516;14.8;0.616;119;0.801;0.032;0.481;0.027;0.374;0.01;120;530;0.774
CBD_P;a;L329;147;429;14.3;0.657;99;0.855;0.076;0.576;0.065;0.322;0.021;100;457;0.781
CBD_V;b;L330;48;134;13.8;0.642;24;0.782;0.018;0.391;0.015;0.353;0.005;24;136;0.824
CBD_V;c;L331;57;156;13.5;0.635;28;0.773;0.023;0.38;0.019;0.358;0.007;28;159;0.824
CBD_V;d;L332;49;129;14.1;0.62;24;0.762;0.019;0.373;0.016;0.374;0.006;24;131;0.817
CBD_V;a;L333;49;139;13.8;0.647;25;0.789;0.017;0.403;0.014;0.348;0.005;25;141;0.823
CBD_C;b;L334;142;391;15;0.637;95;0.841;0.01;0.563;0.008;0.36;0.003;95;394;0.759
CBD_C;c;L335;139;369;15;0.623;76;0.785;0.067;0.429;0.06;0.355;0.022;77;391;0.803
CBD_C;d;L336;142;401;15;0.646;81;0.809;0.093;0.461;0.085;0.326;0.028;82;435;0.811
CBD_C;a;L337;168;447;15.2;0.624;103;0.811;0.02;0.497;0.016;0.37;0.006;103;454;0.773
CBD_P;b;L338;46;122;14.1;0.623;21;0.752;0.029;0.343;0.025;0.368;0.009;21;125;0.832
CBD_P;c;L339;43;110;13.8;0.609;22;0.761;0.022;0.389;0.018;0.384;0.007;22;112;0.804
CBD_P;d;L340;51;131;14.3;0.611;23;0.741;0;0.334;0;0.389;0;23;131;0.824
CBD_P;a;L341;55;149;13.8;0.631;19;0.723;0.023;0.25;0.02;0.362;0.007;19;152;0.875
CBD_V;b;L342;55;152;14.7;0.638;28;0.782;0.016;0.398;0.013;0.357;0.005;28;154;0.818
CBD_V;c;L343;54;148;14.8;0.635;22;0.746;0.016;0.304;0.014;0.36;0.005;22;150;0.853
CBD_V;d;L344;47;137;14.5;0.657;28;0.826;0.009;0.492;0.007;0.341;0.002;28;138;0.797
CBD_V;a;L345;48;131;15;0.634;21;0.755;0.009;0.33;0.008;0.364;0.002;21;132;0.841
CBD_C;b;L346;58;136;15.2;0.574;36;0.78;0.029;0.484;0.022;0.417;0.009;36;139;0.741
CBD_C;c;L347;49;126;15.7;0.611;35;0.846;0.022;0.604;0.016;0.383;0.006;35;128;0.727
CBD_C;d;L348;44;114;15.9;0.614;27;0.805;0.044;0.494;0.035;0.373;0.013;27;118;0.771
CBD_C;a;L349;54;124;15.9;0.565;33;0.769;0.011;0.47;0.008;0.432;0.003;33;125;0.736
CBD_P;b;L350;142;393;15.5;0.639;90;0.828;0.026;0.525;0.02;0.354;0.007;90;401;0.776
CBD_P;c;L351;155;418;15.3;0.629;95;0.814;0.027;0.499;0.022;0.363;0.008;95;427;0.778
CBD_P;d;L352;120;328;15.5;0.634;70;0.806;0.004;0.47;0.003;0.365;0.001;70;329;0.787
CBD_P;a;L353;130;370;15.9;0.649;79;0.825;0.007;0.501;0.005;0.349;0.002;79;372;0.788
CBD_V;b;L354;47;118;15.2;0.602;27;0.78;0.042;0.448;0.034;0.385;0.013;27;122;0.779
CBD_V;c;L355;46;129;15.5;0.643;29;0.83;0.02;0.523;0.016;0.351;0.006;29;131;0.779
CBD_V;d;L356;48;132;15;0.636;27;0.8;0.009;0.45;0.008;0.361;0.003;27;133;0.797
CBD_V;a;L357;50;134;15.5;0.627;25;0.771;0.018;0.386;0.015;0.368;0.005;25;136;0.816
CBD_C;b;L358;56;162;13.1;0.654;27;0.785;0.029;0.378;0.025;0.337;0.009;27;166;0.837
CBD_C;c;L359;58;156;13.1;0.628;31;0.784;0.016;0.419;0.013;0.367;0.005;31;158;0.804
CBD_C;d;L360;48;127;12.8;0.622;27;0.79;0.048;0.444;0.039;0.364;0.014;27;132;0.795
CBD_C;a;L361;51;150;12.8;0.66;28;0.811;0;0.445;0;0.34;0;28;150;0.813
CBD_P;b;L362;128;317;14.8;0.596;74;0.778;0.028;0.45;0.022;0.395;0.009;74;324;0.772
CBD_P;c;L363;160;425;14.3;0.624;79;0.766;0.017;0.378;0.014;0.371;0.005;79;431;0.817
CBD_P;d;L364;164;438;14.1;0.626;85;0.776;0.025;0.402;0.021;0.367;0.007;85;447;0.81
CBD_P;a;L365;152;420;14.5;0.638;81;0.791;0.009;0.422;0.007;0.359;0.003;81;423;0.809
CBD_V;b;L366;39;135;13.6;0.711;24;0.865;0.009;0.532;0.007;0.287;0.002;24;136;0.824
CBD_V;c;L367;43;133;13.6;0.677;21;0.804;0.009;0.393;0.008;0.321;0.002;21;134;0.843
CBD_V;d;L368;44;128;13.6;0.656;26;0.824;0.019;0.487;0.016;0.338;0.006;26;130;0.8
CBD_V;a;L369;49;134;13.8;0.634;23;0.766;0.018;0.36;0.015;0.36;0.006;23;136;0.831
CBD_C;b;L370;140;360;15;0.611;70;0.759;0.02;0.38;0.017;0.383;0.006;70;366;0.809
CBD_C;c;L371;177;520;15;0.66;77;0.774;0.02;0.337;0.017;0.335;0.005;77;529;0.854
CBD_C;d;L372;182;464;14.8;0.608;82;0.738;0.05;0.333;0.045;0.375;0.017;83;485;0.829
CBD_C;a;L373;169;509;14.8;0.668;76;0.785;0.036;0.353;0.031;0.322;0.01;76;525;0.855
CBD_P;b;L374;45;125;14.5;0.64;24;0.792;0.047;0.422;0.04;0.346;0.014;24;130;0.815
CBD_P;c;L375;38;107;14;0.645;26;0.852;0.024;0.583;0.019;0.349;0.006;26;109;0.761
CBD_P;d;L376;47;121;14.5;0.612;26;0.779;0.01;0.431;0.008;0.385;0.003;26;122;0.787
CBD_P;a;L377;54;145;14.5;0.628;32;0.805;0;0.477;0;0.372;0;32;145;0.779
CBD_V;b;L378;51;159;15;0.679;26;0.812;0.007;0.414;0.006;0.319;0.002;26;160;0.838
CBD_V;c;L379;48;143;15;0.664;27;0.819;0.079;0.461;0.07;0.314;0.022;27;153;0.824
CBD_V;d;L380;47;126;14.8;0.627;23;0.767;0.046;0.375;0.04;0.359;0.014;23;131;0.824
CBD_V;a;L381;48;141;14.8;0.66;27;0.816;0.017;0.459;0.014;0.336;0.004;27;143;0.811
CBD_C;b;L382;51;139;15.2;0.633;26;0.779;0.034;0.397;0.029;0.357;0.01;26;143;0.818
CBD_C;c;L383;50;127;15.5;0.606;23;0.74;0.01;0.34;0.008;0.391;0.003;23;128;0.82
CBD_C;d;L384;45;140;15.5;0.679;26;0.833;0.009;0.481;0.007;0.319;0.002;26;141;0.816
CBD_C;a;L385;49;138;15.5;0.645;24;0.781;0.026;0.383;0.022;0.348;0.007;24;141;0.83
CBD_P;b;L386;187;506;15.5;0.63;96;0.778;0.021;0.399;0.018;0.363;0.007;96;515;0.814
CBD_P;c;L387;180;488;15.5;0.631;89;0.772;0.022;0.382;0.018;0.362;0.007;89;497;0.821
CBD_P;d;L388;194;561;15.3;0.654;107;0.808;0.03;0.446;0.025;0.337;0.009;107;575;0.814
CBD_P;a;L389;197;522;15.5;0.623;93;0.758;0.023;0.358;0.019;0.37;0.007;93;532;0.825
CBD_V;b;L390;57;159;15.2;0.642;30;0.791;0.023;0.416;0.019;0.352;0.006;30;162;0.815
CBD_V;c;L391;48;130;15.2;0.631;23;0.766;0.018;0.367;0.015;0.364;0.005;23;132;0.826
CBD_V;d;L392;55;152;15.2;0.638;27;0.776;0.023;0.381;0.02;0.355;0.007;27;155;0.826
CBD_V;a;L393;49;142;15.2;0.655;23;0.782;0.025;0.367;0.021;0.338;0.007;23;145;0.841
